Codigo_Departamento,Departamento,Codigo_Municipio,Municipio,Municipio_Departamento,Población,Distancia_IPS_Nivel_1_Modelo,Distancia_IPS_Nivel_2_Modelo,Distancia_IPS_Nivel_3_Modelo,Distancia_Poblacion_IPS_Nivel_1_Modelo,Distancia_Poblacion_IPS_Nivel_2_Modelo,Distancia_Poblacion_IPS_Nivel_3_Modelo,Distancia_IPS_Nivel_1_Publicas,Distancia_IPS_Nivel_2_Publicas,Distancia_IPS_Nivel_3_Publicas,Distancia_Poblacion_IPS_Nivel_1_Publicas,Distancia_Poblacion_IPS_Nivel_2_Publicas,Distancia_Poblacion_IPS_Nivel_3_Publicas
13,Bolívar,13222,Clemencia,Clemencia (Bolívar),15912,0.0,10.938357082129317,18.8744331167011,0.0,0.0033743177208264553,0.005822477146983056,0.0,18.8744331167011,18.8744331167011,0.0,0.005822477146983056,0.005822477146983056
8,Atlántico,8606,Repelón,Repelón (Atlántico),28493,0.0,14.530981778864382,22.24386022173533,0.0,0.008026796304989854,0.012287327708044903,0.0,22.24386022173533,22.24386022173533,0.0,0.012287327708044903,0.012287327708044903
47,Magdalena,47675,Salamina,Salamina (Magdalena),11835,0.0,12.048586513792944,28.033135754041744,0.0,0.002764480102865893,0.006432044615712393,0.0,28.033135754041744,28.033135754041744,0.0,0.006432044615712393,0.006432044615712393
8,Atlántico,8141,Candelaria,Candelaria (Atlántico),17430,0.0,11.636723830404383,17.030351379508037,0.0,0.003932214682052816,0.00575479823281952,0.0,17.030351379508037,17.030351379508037,0.0,0.00575479823281952,0.00575479823281952
44,La Guajira,44855,Urumita,Urumita (La Guajira),12320,0.0,36.892396750249816,59.985664584544566,0.0,0.008811638750544705,0.014327396783370297,0.0,36.892396750249816,120.32897349454775,0.0,0.008811638750544705,0.028740215845440942
8,Atlántico,8436,Manatí,Manatí (Atlántico),21488,0.0,13.42676024398881,18.90378704324377,0.0,0.005593405886140961,0.007875060833485385,0.0,18.90378704324377,18.90378704324377,0.0,0.007875060833485385,0.007875060833485385
13,Bolívar,13683,Santa Rosa,Santa Rosa (Bolívar),22566,0.0,0.0,10.719409412371574,0.0,0.0,0.004689586469928918,0.0,10.719409412371574,10.719409412371574,0.0,0.004689586469928918,0.004689586469928918
13,Bolívar,13873,Villanueva,Villanueva (Bolívar),25559,0.0,10.614994361195905,21.06993557821098,0.0,0.005259842399315294,0.010440376766496015,0.0,21.06993557821098,21.06993557821098,0.0,0.010440376766496015,0.010440376766496015
47,Magdalena,47258,El Piñón,El Piñón (Magdalena),25042,0.0,23.06200571435445,43.29161347321731,0.0,0.011196317163219926,0.021017540319659658,0.0,30.74554398677212,43.29161347321731,0.0,0.014926579504633766,0.021017540319659658
8,Atlántico,8137,Campo de La Cruz,Campo de La Cruz (Atlántico),24596,0.0,0.0,27.4801554602294,0.0,0.0,0.01310366481272276,0.0,27.4801554602294,27.4801554602294,0.0,0.01310366481272276,0.01310366481272276
20,Cesar,20621,La Paz,La Paz (Cesar),31254,0.0,36.32923970565095,41.68505120667394,0.0,0.02201258382081772,0.025257772835231087,0.0,41.68505120667394,131.21010835780748,0.0,0.025257772835231087,0.07950272374997013
13,Bolívar,13647,San Estanislao,San Estanislao (Bolívar),19628,0.0,19.15140955058305,29.84624841221876,0.0,0.007287623016803413,0.011357294945817494,0.0,29.84624841221876,29.84624841221876,0.0,0.011357294945817494,0.011357294945817494
20,Cesar,20443,Manaure Balcón del Cesar,Manaure Balcón del Cesar (Cesar),11371,0.0,48.66159555172637,52.505052468103095,0.0,0.01072739099321255,0.011574676509440909,0.0,48.66159555172637,126.3179723854909,0.0,0.01072739099321255,0.027846647112271125
13,Bolívar,13760,Soplaviento,Soplaviento (Bolívar),11375,0.0,26.08536585109996,36.68790683283417,0.0,0.0057525108076094495,0.00809065058811693,0.0,36.68790683283417,36.68790683283417,0.0,0.00809065058811693,0.00809065058811693
13,Bolívar,13620,San Cristóbal,San Cristóbal (Bolívar),8614,0.0,20.722955038813307,30.81130998829245,0.0,0.003460713586553259,0.0051454591729932116,0.0,30.81130998829245,30.81130998829245,0.0,0.0051454591729932116,0.0051454591729932116
13,Bolívar,13836,Turbaco,Turbaco (Bolívar),113746,0.0,0.0,14.96990044735855,0.0,0.0,0.033011415826449834,0.0,14.96990044735855,14.96990044735855,0.0,0.033011415826449834,0.033011415826449834
20,Cesar,20238,El Copey,El Copey (Cesar),33782,0.0,0.0,49.894715892502944,0.0,0.0,0.03267751460452614,0.0,28.86727767891895,102.02251195415778,0.0,0.018906027844273688,0.06681753898659573
8,Atlántico,8675,Santa Lucía,Santa Lucía (Atlántico),17593,0.0,9.461419565815977,29.760935982838536,0.0,0.0032270471446857554,0.010150690688486756,0.0,29.760935982838536,29.760935982838536,0.0,0.010150690688486756,0.010150690688486756
