Codigo,DPNOM,MPIO,Municipio_y,Municipio_Departamento,IPS_2022,IPS/Habitantes
54,Norte de Santander,54520,Pamplonita,Pamplonita (Norte de Santander),1.0,16.0
41,Huila,41319,Guadalupe,Guadalupe (Huila),3.0,16.0
54,Norte de Santander,54128,Cáchira,Cáchira (Norte de Santander),2.0,16.0
23,Córdoba,23580,Puerto Libertador,Puerto Libertador (Córdoba),7.0,16.0
25,Cundinamarca,25740,Sibaté,Sibaté (Cundinamarca),6.0,16.0
27,Chocó,27425,Medio Atrato,Medio Atrato (Chocó),2.0,16.0
25,Cundinamarca,25799,Tenjo,Tenjo (Cundinamarca),4.0,16.0
25,Cundinamarca,25743,Silvania,Silvania (Cundinamarca),4.0,16.0
19,Cauca,19807,Timbío,Timbío (Cauca),6.0,16.0
50,Meta,50711,Vistahermosa,Vistahermosa (Meta),3.0,16.0
68,Santander,68318,Guaca,Guaca (Santander),1.0,16.0
5,Antioquia,5440,Marinilla,Marinilla (Antioquia),11.0,16.0
5,Antioquia,5250,El Bagre,El Bagre (Antioquia),9.0,16.0
68,Santander,68855,Valle de San José,Valle de San José (Santander),1.0,16.0
5,Antioquia,5240,Ebéjico,Ebéjico (Antioquia),2.0,16.0
5,Antioquia,5792,Tarso,Tarso (Antioquia),1.0,16.0
5,Antioquia,5086,Belmira,Belmira (Antioquia),1.0,16.0
5,Antioquia,5690,Santo Domingo,Santo Domingo (Antioquia),2.0,16.0
25,Cundinamarca,25372,Junín,Junín (Cundinamarca),1.0,16.0
27,Chocó,27615,Riosucio,Riosucio (Chocó),10.0,16.0
19,Cauca,19585,Puracé,Puracé (Cauca),3.0,16.0
76,Valle del Cauca,76126,Calima,Calima (Valle del cauca),3.0,16.0
5,Antioquia,5030,Amagá,Amagá (Antioquia),5.0,16.0
5,Antioquia,5756,Sonsón,Sonsón (Antioquia),6.0,16.0
17,Caldas,17042,Anserma,Anserma (Caldas),6.0,16.0
5,Antioquia,5686,Santa Rosa de Osos,Santa Rosa de Osos (Antioquia),6.0,16.0
76,Valle del Cauca,76497,Obando,Obando (Valle del cauca),2.0,16.0
23,Córdoba,23168,Chimá,Chimá (Córdoba),3.0,16.0
18,Caquetá,18785,Solita,Solita (Caquetá),1.0,16.0
68,Santander,68498,Ocamonte,Ocamonte (Santander),1.0,16.0
25,Cundinamarca,25181,Choachí,Choachí (Cundinamarca),2.0,16.0
15,Boyacá,15835,Turmequé,Turmequé (Boyacá),1.0,16.0
25,Cundinamarca,25488,Nilo,Nilo (Cundinamarca),2.0,16.0
15,Boyacá,15764,Soracá,Soracá (Boyacá),1.0,16.0
15,Boyacá,15051,Arcabuco,Arcabuco (Boyacá),1.0,16.0
15,Boyacá,15790,Tasco,Tasco (Boyacá),1.0,16.0
15,Boyacá,15185,Chitaraque,Chitaraque (Boyacá),1.0,16.0
19,Cauca,19450,Mercaderes,Mercaderes (Cauca),4.0,16.0
44,La Guajira,44560,Manaure,Manaure (La Guajira),15.0,16.0
19,Cauca,19397,La Vega,La Vega (Cauca),4.0,16.0
44,La Guajira,44855,Urumita,Urumita (La Guajira),2.0,16.0
85,Casanare,85263,Pore,Pore (Casanare),2.0,16.0
66,Risaralda,66045,Apía,Apía (Risaralda),2.0,16.0
5,Antioquia,5306,Giraldo,Giraldo (Antioquia),1.0,17.0
13,Bolívar,13458,Montecristo,Montecristo (Bolívar),3.0,17.0
76,Valle del Cauca,76845,Ulloa,Ulloa (Valle del cauca),1.0,17.0
73,Tolima,73585,Purificación,Purificación (Tolima),4.0,17.0
68,Santander,68190,Cimitarra,Cimitarra (Santander),6.0,17.0
8,Atlántico,8758,Soledad,Soledad (Atlántico),113.0,17.0
73,Tolima,73686,Santa Isabel,Santa Isabel (Tolima),1.0,17.0
18,Caquetá,18756,Solano,Solano (Caquetá),2.0,17.0
25,Cundinamarca,25777,Supatá,Supatá (Cundinamarca),1.0,17.0
15,Boyacá,15638,Sáchica,Sáchica (Boyacá),1.0,17.0
68,Santander,68271,Florián,Florián (Santander),1.0,17.0
68,Santander,68207,Concepción,Concepción (Santander),1.0,17.0
5,Antioquia,5318,Guarne,Guarne (Antioquia),10.0,17.0
5,Antioquia,5353,Hispania,Hispania (Antioquia),1.0,17.0
8,Atlántico,8675,Santa Lucía,Santa Lucía (Atlántico),3.0,17.0
54,Norte de Santander,54250,El Tarra,El Tarra (Norte de Santander),4.0,17.0
5,Antioquia,5652,San Francisco,San Francisco (Antioquia),1.0,17.0
5,Antioquia,5036,Angelópolis,Angelópolis (Antioquia),1.0,17.0
68,Santander,68689,San Vicente de Chucurí,San Vicente de Chucurí (Santander),6.0,17.0
52,Nariño,52565,Providencia,Providencia (Nariño),1.0,17.0
15,Boyacá,15476,Motavita,Motavita (Boyacá),1.0,17.0
15,Boyacá,15667,San Luis de Gaceno,San Luis de Gaceno (Boyacá),1.0,17.0
63,Quindio,63212,Córdoba,Córdoba (Quindío),1.0,17.0
63,Quindio,63130,Calarcá,Calarcá (Quindío),13.0,17.0
5,Antioquia,5861,Venecia,Venecia (Antioquia),2.0,17.0
68,Santander,68101,Bolívar,Bolívar (Santander),2.0,17.0
17,Caldas,17272,Filadelfia,Filadelfia (Caldas),2.0,17.0
68,Santander,68549,Pinchote,Pinchote (Santander),1.0,18.0
25,Cundinamarca,25123,Cachipay,Cachipay (Cundinamarca),2.0,18.0
25,Cundinamarca,25797,Tena,Tena (Cundinamarca),2.0,18.0
8,Atlántico,8296,Galapa,Galapa (Atlántico),12.0,18.0
5,Antioquia,5347,Heliconia,Heliconia (Antioquia),1.0,18.0
68,Santander,68147,Capitanejo,Capitanejo (Santander),1.0,18.0
20,Cesar,20443,Manaure Balcón del Cesar,Manaure Balcón del Cesar (Cesar),2.0,18.0
99,Vichada,99001,Puerto Carreño,Puerto Carreño (Vichada),4.0,18.0
76,Valle del Cauca,76054,Argelia,Argelia (Valle del cauca),1.0,18.0
5,Antioquia,5887,Yarumal,Yarumal (Antioquia),8.0,18.0
41,Huila,41797,Tesalia,Tesalia (Huila),2.0,18.0
54,Norte de Santander,54810,Tibú,Tibú (Norte de Santander),11.0,18.0
25,Cundinamarca,25430,Madrid,Madrid (Cundinamarca),23.0,18.0
25,Cundinamarca,25524,Pandi,Pandi (Cundinamarca),1.0,18.0
73,Tolima,73854,Valle de San Juan,Valle de San Juan (Tolima),1.0,18.0
19,Cauca,19256,El Tambo,El Tambo (Cauca),10.0,18.0
66,Risaralda,66572,Pueblo Rico,Pueblo Rico (Risaralda),3.0,18.0
19,Cauca,19392,La Sierra,La Sierra (Cauca),2.0,18.0
68,Santander,68406,Lebrija,Lebrija (Santander),8.0,18.0
13,Bolívar,13655,San Jacinto del Cauca,San Jacinto del Cauca (Bolívar),2.0,18.0
15,Boyacá,15861,Ventaquemada,Ventaquemada (Boyacá),3.0,18.0
54,Norte de Santander,54871,Villa Caro,Villa Caro (Norte de Santander),1.0,18.0
95,Guaviare,95015,Calamar,Calamar (Guaviare),2.0,18.0
19,Cauca,19075,Balboa,Balboa (Cauca),4.0,18.0
15,Boyacá,15822,Tota,Tota (Boyacá),1.0,18.0
73,Tolima,73622,Roncesvalles,Roncesvalles (Tolima),1.0,18.0
5,Antioquia,5313,Granada,Granada (Antioquia),2.0,19.0
68,Santander,68327,Güepsa,Güepsa (Santander),1.0,19.0
15,Boyacá,15097,Boavita,Boavita (Boyacá),1.0,19.0
15,Boyacá,15425,Macanal,Macanal (Boyacá),1.0,19.0
15,Boyacá,15104,Boyacá,Boyacá (Boyacá),1.0,19.0
15,Boyacá,15664,San José de Pare,San José de Pare (Boyacá),1.0,19.0
47,Magdalena,47268,El Retén,El Retén (Magdalena),4.0,19.0
68,Santander,68250,El Peñón,El Peñón (Santander),1.0,19.0
19,Cauca,19824,Totoró,Totoró (Cauca),5.0,19.0
5,Antioquia,5483,Nariño,Nariño (Antioquia),2.0,19.0
54,Norte de Santander,54206,Convención,Convención (Norte de Santander),4.0,19.0
25,Cundinamarca,25258,El Peñón,El Peñón (Cundinamarca),1.0,19.0
73,Tolima,73411,Líbano,Líbano (Tolima),7.0,19.0
73,Tolima,73873,Villarrica,Villarrica (Tolima),1.0,19.0
25,Cundinamarca,25120,Cabrera,Cabrera (Cundinamarca),1.0,19.0
68,Santander,68179,Chipatá,Chipatá (Santander),1.0,19.0
68,Santander,68444,Matanza,Matanza (Santander),1.0,19.0
68,Santander,68397,La Paz,La Paz (Santander),1.0,19.0
5,Antioquia,5002,Abejorral,Abejorral (Antioquia),4.0,19.0
25,Cundinamarca,25653,San Cayetano,San Cayetano (Cundinamarca),1.0,19.0
15,Boyacá,15599,Ramiriquí,Ramiriquí (Boyacá),2.0,19.0
5,Antioquia,5697,El Santuario,El Santuario (Antioquia),7.0,19.0
41,Huila,41615,Rivera,Rivera (Huila),5.0,19.0
63,Quindio,63548,Pijao,Pijao (Quindío),1.0,19.0
15,Boyacá,15494,Nuevo Colón,Nuevo Colón (Boyacá),1.0,19.0
19,Cauca,19212,Corinto,Corinto (Cauca),5.0,19.0
5,Antioquia,5059,Armenia,Armenia (Antioquia),1.0,19.0
19,Cauca,19290,Florencia,Florencia (Cauca),1.0,19.0
8,Atlántico,8436,Manatí,Manatí (Atlántico),4.0,19.0
25,Cundinamarca,25040,Anolaima,Anolaima (Cundinamarca),3.0,19.0
99,Vichada,99524,La Primavera,La Primavera (Vichada),2.0,19.0
25,Cundinamarca,25178,Chipaque,Chipaque (Cundinamarca),2.0,19.0
68,Santander,68385,Landázuri,Landázuri (Santander),2.0,19.0
23,Córdoba,23068,Ayapel,Ayapel (Córdoba),9.0,19.0
23,Córdoba,23500,Moñitos,Moñitos (Córdoba),6.0,19.0
85,Casanare,85410,Tauramena,Tauramena (Casanare),5.0,19.0
17,Caldas,17524,Palestina,Palestina (Caldas),3.0,19.0
17,Caldas,17513,Pácora,Pácora (Caldas),3.0,19.0
17,Caldas,17614,Riosucio,Riosucio (Caldas),10.0,19.0
68,Santander,68770,Suaita,Suaita (Santander),2.0,19.0
68,Santander,68572,Puente Nacional,Puente Nacional (Santander),3.0,20.0
27,Chocó,27491,Nóvita,Nóvita (Chocó),2.0,20.0
50,Meta,50370,Uribe,Uribe (Meta),2.0,20.0
68,Santander,68418,Los Santos,Los Santos (Santander),3.0,20.0
15,Boyacá,15296,Gámeza,Gámeza (Boyacá),1.0,20.0
50,Meta,50318,Guamal,Guamal (Meta),3.0,20.0
54,Norte de Santander,54003,Ábrego,Ábrego (Norte de Santander),7.0,20.0
76,Valle del Cauca,76563,Pradera,Pradera (Valle del cauca),10.0,20.0
68,Santander,68575,Puerto Wilches,Puerto Wilches (Santander),7.0,20.0
27,Chocó,27006,Acandí,Acandí (Chocó),3.0,20.0
15,Boyacá,15232,Chíquiza,Chíquiza (Boyacá),1.0,20.0
76,Valle del Cauca,76400,La Unión,La Unión (Valle del cauca),7.0,20.0
17,Caldas,17665,San José,San José (Caldas),1.0,20.0
54,Norte de Santander,54239,Durania,Durania (Norte de Santander),1.0,20.0
23,Córdoba,23675,San Bernardo del Viento,San Bernardo del Viento (Córdoba),8.0,20.0
41,Huila,41357,Íquira,Íquira (Huila),2.0,20.0
17,Caldas,17653,Salamina,Salamina (Caldas),4.0,20.0
25,Cundinamarca,25867,Vianí,Vianí (Cundinamarca),1.0,20.0
27,Chocó,27250,El Litoral del San Juan,El Litoral del San Juan (Chocó),5.0,20.0
18,Caquetá,18460,Milán,Milán (Caquetá),2.0,20.0
5,Antioquia,5310,Gómez Plata,Gómez Plata (Antioquia),2.0,20.0
5,Antioquia,5190,Cisneros,Cisneros (Antioquia),2.0,20.0
13,Bolívar,13654,San Jacinto,San Jacinto (Bolívar),5.0,20.0
73,Tolima,73443,Mariquita,Mariquita (Tolima),8.0,20.0
19,Cauca,19110,Buenos Aires,Buenos Aires (Cauca),7.0,20.0
5,Antioquia,5206,Concepción,Concepción (Antioquia),1.0,20.0
18,Caquetá,18247,El Doncello,El Doncello (Caquetá),4.0,20.0
25,Cundinamarca,25328,Guayabal de Síquima,Guayabal de Síquima (Cundinamarca),1.0,20.0
44,La Guajira,44847,Uribia,Uribia (La Guajira),38.0,20.0
25,Cundinamarca,25506,Venecia,Venecia (Cundinamarca),1.0,21.0
15,Boyacá,15464,Mongua,Mongua (Boyacá),1.0,21.0
54,Norte de Santander,54480,Mutiscua,Mutiscua (Norte de Santander),1.0,21.0
15,Boyacá,15897,Zetaquira,Zetaquira (Boyacá),1.0,21.0
25,Cundinamarca,25530,Paratebueno,Paratebueno (Cundinamarca),2.0,21.0
20,Cesar,20550,Pelaya,Pelaya (Cesar),5.0,21.0
52,Nariño,52207,Consacá,Consacá (Nariño),3.0,21.0
70,Sucre,70418,Los Palmitos,Los Palmitos (Sucre),5.0,21.0
54,Norte de Santander,54553,Puerto Santander,Puerto Santander (Norte de Santander),2.0,21.0
25,Cundinamarca,25183,Chocontá,Chocontá (Cundinamarca),5.0,21.0
25,Cundinamarca,25293,Gachalá,Gachalá (Cundinamarca),1.0,21.0
52,Nariño,52418,Los Andes,Los Andes (Nariño),2.0,21.0
15,Boyacá,15646,Samacá,Samacá (Boyacá),4.0,21.0
13,Bolívar,13810,Tiquisio,Tiquisio (Bolívar),4.0,21.0
52,Nariño,52224,Cuaspud Carlosama,Cuaspud Carlosama (Nariño),2.0,21.0
73,Tolima,73024,Alpujarra,Alpujarra (Tolima),1.0,21.0
25,Cundinamarca,25214,Cota,Cota (Cundinamarca),8.0,21.0
63,Quindio,63690,Salento,Salento (Quindío),2.0,21.0
50,Meta,50683,San Juan de Arama,San Juan de Arama (Meta),2.0,21.0
47,Magdalena,47170,Chibolo,Chibolo (Magdalena),5.0,21.0
19,Cauca,19022,Almaguer,Almaguer (Cauca),4.0,21.0
19,Cauca,19533,Piamonte,Piamonte (Cauca),2.0,21.0
18,Caquetá,18029,Albania,Albania (Caquetá),1.0,21.0
15,Boyacá,15189,Ciénega,Ciénega (Boyacá),1.0,21.0
76,Valle del Cauca,76364,Jamundí,Jamundí (Valle del cauca),37.0,21.0
54,Norte de Santander,54720,Sardinata,Sardinata (Norte de Santander),6.0,21.0
5,Antioquia,5145,Caramanta,Caramanta (Antioquia),1.0,21.0
41,Huila,41132,Campoalegre,Campoalegre (Huila),7.0,21.0
5,Antioquia,5021,Alejandría,Alejandría (Antioquia),1.0,21.0
20,Cesar,20383,La Gloria,La Gloria (Cesar),4.0,21.0
68,Santander,68533,Páramo,Páramo (Santander),1.0,21.0
68,Santander,68320,Guadalupe,Guadalupe (Santander),1.0,21.0
5,Antioquia,5142,Caracolí,Caracolí (Antioquia),1.0,21.0
25,Cundinamarca,25148,Caparrapí,Caparrapí (Cundinamarca),3.0,22.0
41,Huila,41378,La Argentina,La Argentina (Huila),3.0,22.0
18,Caquetá,18592,Puerto Rico,Puerto Rico (Caquetá),6.0,22.0
25,Cundinamarca,25269,Facatativá,Facatativá (Cundinamarca),35.0,22.0
13,Bolívar,13780,Talaigua Nuevo,Talaigua Nuevo (Bolívar),3.0,22.0
13,Bolívar,13683,Santa Rosa,Santa Rosa (Bolívar),5.0,22.0
41,Huila,41026,Altamira,Altamira (Huila),1.0,22.0
54,Norte de Santander,54099,Bochalema,Bochalema (Norte de Santander),2.0,22.0
25,Cundinamarca,25513,Pacho,Pacho (Cundinamarca),6.0,22.0
27,Chocó,27245,El Carmen de Atrato,El Carmen de Atrato (Chocó),2.0,22.0
25,Cundinamarca,25899,Zipaquirá,Zipaquirá (Cundinamarca),33.0,22.0
5,Antioquia,5042,Santafé de Antioquia,Santafé de Antioquia (Antioquia),6.0,22.0
76,Valle del Cauca,76233,Dagua,Dagua (Valle del cauca),11.0,22.0
54,Norte de Santander,54800,Teorama,Teorama (Norte de Santander),4.0,22.0
52,Nariño,52585,Pupiales,Pupiales (Nariño),4.0,22.0
70,Sucre,70771,Sucre,Sucre (Sucre),7.0,22.0
5,Antioquia,5051,Arboletes,Arboletes (Antioquia),7.0,22.0
25,Cundinamarca,25168,Chaguaní,Chaguaní (Cundinamarca),1.0,22.0
5,Antioquia,5360,Itagüí,Itagüí (Antioquia),66.0,22.0
15,Boyacá,15455,Miraflores,Miraflores (Boyacá),2.0,22.0
25,Cundinamarca,25823,Topaipí,Topaipí (Cundinamarca),1.0,22.0
25,Cundinamarca,25599,Apulo,Apulo (Cundinamarca),2.0,22.0
73,Tolima,73168,Chaparral,Chaparral (Tolima),12.0,22.0
15,Boyacá,15109,Buenavista,Buenavista (Boyacá),1.0,22.0
52,Nariño,52480,Nariño,Nariño (Nariño),1.0,22.0
5,Antioquia,5376,La Ceja,La Ceja (Antioquia),15.0,22.0
41,Huila,41244,Elías,Elías (Huila),1.0,22.0
15,Boyacá,15816,Togüí,Togüí (Boyacá),1.0,22.0
73,Tolima,73675,San Antonio,San Antonio (Tolima),3.0,22.0
85,Casanare,85125,Hato Corozal,Hato Corozal (Casanare),3.0,22.0
50,Meta,50287,Fuente de Oro,Fuente de Oro (Meta),3.0,23.0
13,Bolívar,13549,Pinillos,Pinillos (Bolívar),6.0,23.0
85,Casanare,85139,Maní,Maní (Casanare),4.0,23.0
25,Cundinamarca,25320,Guaduas,Guaduas (Cundinamarca),8.0,23.0
15,Boyacá,15407,Villa de Leyva,Villa de Leyva (Boyacá),4.0,23.0
85,Casanare,85325,San Luis de Palenque,San Luis de Palenque (Casanare),2.0,23.0
15,Boyacá,15763,Sotaquirá,Sotaquirá (Boyacá),2.0,23.0
68,Santander,68324,Guavatá,Guavatá (Santander),1.0,23.0
68,Santander,68684,San José de Miranda,San José de Miranda (Santander),1.0,23.0
81,Arauca,81220,Cravo Norte,Cravo Norte (Arauca),1.0,23.0
68,Santander,68152,Carcasí,Carcasí (Santander),1.0,23.0
73,Tolima,73461,Murillo,Murillo (Tolima),1.0,23.0
23,Córdoba,23807,Tierralta,Tierralta (Córdoba),23.0,23.0
47,Magdalena,47460,Nueva Granada,Nueva Granada (Magdalena),5.0,23.0
15,Boyacá,15466,Monguí,Monguí (Boyacá),1.0,23.0
15,Boyacá,15332,Güicán de La Sierra,Güicán de La Sierra (Boyacá),1.0,23.0
5,Antioquia,5172,Chigorodó,Chigorodó (Antioquia),14.0,23.0
13,Bolívar,13873,Villanueva,Villanueva (Bolívar),6.0,23.0
54,Norte de Santander,54418,Lourdes,Lourdes (Norte de Santander),1.0,23.0
15,Boyacá,15537,Paz de Río,Paz de Río (Boyacá),1.0,23.0
86,Putumayo,86885,Villagarzón,Villagarzón (Putumayo),6.0,23.0
15,Boyacá,15778,Sutatenza,Sutatenza (Boyacá),1.0,23.0
20,Cesar,20570,Pueblo Bello,Pueblo Bello (Cesar),7.0,23.0
13,Bolívar,13062,Arroyohondo,Arroyohondo (Bolívar),2.0,23.0
68,Santander,68298,Gámbita,Gámbita (Santander),1.0,24.0
86,Putumayo,86569,Puerto Caicedo,Puerto Caicedo (Putumayo),4.0,24.0
13,Bolívar,13052,Arjona,Arjona (Bolívar),18.0,24.0
50,Meta,50270,El Dorado,El Dorado (Meta),1.0,24.0
68,Santander,68502,Onzaga,Onzaga (Santander),1.0,24.0
47,Magdalena,47258,El Piñón,El Piñón (Magdalena),6.0,24.0
91,Amazonas,91798,Tarapacá,Tarapacá (Amazonas),1.0,24.0
5,Antioquia,5150,Carolina,Carolina (Antioquia),1.0,24.0
76,Valle del Cauca,76606,Restrepo,Restrepo (Valle del cauca),4.0,24.0
5,Antioquia,5034,Andes,Andes (Antioquia),11.0,24.0
27,Chocó,27430,Medio Baudó,Medio Baudó (Chocó),4.0,24.0
47,Magdalena,47058,Ariguaní,Ariguaní (Magdalena),8.0,24.0
68,Santander,68020,Albania,Albania (Santander),1.0,24.0
47,Magdalena,47318,Guamal,Guamal (Magdalena),7.0,24.0
25,Cundinamarca,25758,Sopó,Sopó (Cundinamarca),7.0,24.0
5,Antioquia,5649,San Carlos,San Carlos (Antioquia),4.0,24.0
91,Amazonas,91407,La Pedrera,La Pedrera (Amazonas),1.0,24.0
68,Santander,68167,Charalá,Charalá (Santander),3.0,24.0
63,Quindio,63272,Filandia,Filandia (Quindío),3.0,24.0
25,Cundinamarca,25436,Manta,Manta (Cundinamarca),1.0,24.0
20,Cesar,20295,Gamarra,Gamarra (Cesar),4.0,24.0
20,Cesar,20517,Pailitas,Pailitas (Cesar),5.0,24.0
76,Valle del Cauca,76403,La Victoria,La Victoria (Valle del cauca),3.0,24.0
44,La Guajira,44110,El Molino,El Molino (La Guajira),2.0,24.0
15,Boyacá,15180,Chiscas,Chiscas (Boyacá),1.0,24.0
68,Santander,68468,Molagavita,Molagavita (Santander),1.0,24.0
23,Córdoba,23189,Ciénaga de Oro,Ciénaga de Oro (Córdoba),15.0,24.0
18,Caquetá,18205,Curillo,Curillo (Caquetá),2.0,25.0
25,Cundinamarca,25489,Nimaima,Nimaima (Cundinamarca),1.0,25.0
